delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.7,2025-12,STR,5,-0.04280281057320825,-0.11230519936571123,29
0.7,2025-12,STV,1,-0.030298675886882016,-0.04817121387529126,29
0.7,2025-12,STV,2,-0.004090684659402674,-0.01506604106479252,29
0.7,2025-12,STV,3,0.041602633821507015,-0.004496776567848342,29
0.7,2025-12,STV,4,0.03362002733154794,-0.04343521953090214,29
0.7,2025-12,STV,5,-0.01427138279589812,-0.03757503137027755,29
0.7,2026-01,STR,1,0.027849695145358445,-0.030651366532849215,30
0.7,2026-01,STR,2,-0.029283238387538137,-0.14919875818634193,29
0.7,2026-01,STR,3,-0.015252680620861714,-0.1468926293282175,30
0.7,2026-01,STR,4,-0.10189135155982858,-0.14459849310748277,29
0.7,2026-01,STR,5,-0.0011409833210060652,-0.11517300995177215,30
0.7,2026-01,STV,1,-0.09533262576771125,-0.1320273930990678,30
0.7,2026-01,STV,2,-0.09714335353318554,-0.05492885574218322,29
0.7,2026-01,STV,3,0.0217967542981808,-0.039815485527240374,30
0.7,2026-01,STV,4,0.041613321102589675,-0.1562172518462977,29
0.7,2026-01,STV,5,0.011868830406809272,-0.1602302382294512,30
0.7,2026-02,STR,1,-0.011617485564327049,0.0006657832609807786,30
0.7,2026-02,STR,2,-0.012126155407835897,0.002597499797418322,29
0.7,2026-02,STR,3,-0.058696317685469894,-0.013083815655099048,30
0.7,2026-02,STR,4,-0.050685882245331604,-0.031496916868096476,29
0.7,2026-02,STR,5,0.05309433443978892,-0.0451003032713283,30
0.7,2026-02,STV,1,-0.06607343736143309,-0.01834222158606299,30
0.7,2026-02,STV,2,0.02082687182872516,0.013520149765528226,29
0.7,2026-02,STV,3,-0.02523523815416768,-0.03347719241427632,30
0.7,2026-02,STV,4,0.00539068844657552,-0.00484210286104681,29
0.7,2026-02,STV,5,-0.011972737958593141,0.03256398317238714,30
0.7,2026-03,STR,1,0.41866969224055783,0.05734791266574567,30
0.7,2026-03,STR,2,0.13061419208151512,0.08941841601181526,30
0.7,2026-03,STR,3,0.04270743575818004,-0.005517932983403698,29
0.7,2026-03,STR,4,0.12769951036919241,0.042007707158674544,30
0.7,2026-03,STR,5,0.2015857270904708,0.10497295555253668,30
0.7,2026-03,STV,1,-0.011568086487544245,0.032720729282263196,30
0.7,2026-03,STV,2,0.057474601417838375,0.01877649276872112,30
0.7,2026-03,STV,3,0.24133553780140274,0.050036691473424585,29
0.7,2026-03,STV,4,0.4791827802781413,0.11572692959190255,30
0.7,2026-03,STV,5,0.16147266126485213,0.09634504534146993,30
0.7,2026-04,STR,1,0.13931442991470386,-0.007666279412533073,30
0.7,2026-04,STR,2,0.011958126557495086,-0.027432875256606072,30
0.7,2026-04,STR,3,0.028732168045801625,-0.010441541572559089,30
0.7,2026-04,STR,4,-0.010416702814701724,-0.004374061776847936,30
0.7,2026-04,STR,5,0.5844305448490085,0.21168339439592282,30
0.7,2026-04,STV,1,0.06587373554800739,-0.01060764731153814,30
0.7,2026-04,STV,2,0.45299347497567255,0.01246602525303013,30
0.7,2026-04,STV,3,0.1469692009001023,0.078437247601008,30
0.7,2026-04,STV,4,0.0947709456855445,0.09043694725952932,30
0.7,2026-04,STV,5,-0.006588790557019456,-0.029197736320479603,30
0.7,2026-05,STR,1,-0.06122604184975258,-0.13617529583492335,30
0.7,2026-05,STR,2,-0.029050669363933926,-0.10374032234939287,30
0.7,2026-05,STR,3,-0.10605383890564142,-0.1320144151664812,30
0.7,2026-05,STR,4,-0.12202714013060688,-0.14098104295654112,30
0.7,2026-05,STR,5,0.16116384800199288,-0.10716423892804296,30
0.7,2026-05,STV,1,-0.08332151901108145,-0.09986645151210626,30
0.7,2026-05,STV,2,-0.0747611325480046,-0.1088614793343294,30
0.7,2026-05,STV,3,0.0851042679572213,-0.044353024854805856,30
0.7,2026-05,STV,4,-0.03998309662712904,-0.046391886161583594,30
0.7,2026-05,STV,5,-0.04423236201894814,-0.1229912159422844,30
0.9,2025-06,STR,1,0.3069919532286632,0.42180695007759006,25
0.9,2025-06,STR,2,0.0412319957796947,0.10596018582524352,24
0.9,2025-06,STR,3,0.0897731099063087,0.08957464439122072,24
0.9,2025-06,STR,4,0.21821938492183116,0.348353283402319,24
